Event Name	Short Description	Start	End	Location	City	Relevance	Event URL
Quantifying ESG Risk	This in-person conversation will provide valuable insights into the rapidly growing field of ESG Risk and its impact on the emerging world.	2023-06-01 17:15	2023-06-01 19:45	42 West 44th Street New York, NY 10036	New York City	TRUE.	https://www.eventbrite.com/e/quantifying-esg-risk-tickets-630970659227
Encanto Memorial Day Weekend Kids Party Cruise	A Fun Filled Family Adventure	2023-05-27 11:30	2023-05-27 14:00	2430 FDR Drive New York, NY 10010	New York	FALSE	https://www.eventbrite.com/e/kids-party-cruise-memorial-day-weekend-tickets-633460105227
VIP Yacht Party Cruise	Join us on NYC's #1 yacht party cruise for a fun & safe sail by the Statue of Liberty, Brooklyn Bridge, Freedom Tower, etc. on a 100 ft, 2-deck private yacht with a live DJ! Enjoy lots of open air space along with both outdoor and indoor areas for all to be comfortable.	2023-05-26 23:30	2023-05-27 03:30	2430 FDR Drive East Service Road New York, NY 10010	New York	FALSE	https://www.eventbrite.com/e/vip-yacht-party-cruise-tickets-475399060387
#ProductCon New York: The Product Management Conference	 ProductCon is the largest product management conference series in the world.	 2023-05-31 09:00	 2023-05-31 17:00	 Metropolitan Pavilion, 125 W 18th St, New York City, NY 10011	 New York City	 TRUE	https://www.eventbrite.com/e/productcon-new-york-the-product-management-conference-tickets-419723663777
KWHomeBase | Smart Home Technology	A class about how to use smart home technology	2023-12-13 18:00	2023-12-13 19:30	1 Elm St, 1 Elm Street Westfield, NJ 07090	Westfield	FALSE	https://www.eventbrite.com/e/kwhomebase-smart-home-technology-tickets-596928758987
THE CLIMATE FABLES	Two Climate Crisis Plays written by Padraig Bond premiering in NYC before going off to EdFringe this summer.	2023-06-02 19:30	2023-06-02 22:00	New Perspectives Theatre Company, 458 West 37th Street, New York, NY 10018	New York	TRUE	https://www.eventbrite.com/e/the-climate-fables-tickets-635585773157
BBS.NYC 2023	Unleash blockchain and AI innovation at BBS.NYC! Discover Web3 frontiers, network with experts, and stay ahead in new trend.	2023-06-01 09:00	2023-06-01 18:00	The Altman Building 135 West 18th Street New York, NY 10011	New York	TRUE	https://www.eventbrite.com/e/bbsnyc-2023-tickets-516213768277
Writing the History of COVID-19: Lessons for the Next Pandemic	Join us on June 9, 2023 to explore the lessons learned from COVID-19 with public health experts, archivists, and historians!	2023-06-09 09:00	2023-06-09 18:00	Lehman Center for American History 420 W 118th Street New York, NY 10027	New York	FALSE	https://www.eventbrite.com/e/writing-the-history-of-covid-19-lessons-for-the-next-pandemic-tickets-640129744297
How Technology and Climate Action Can Drive a New Era of Prosperity	The MKAI Inclusive Summit rethinks economic growth, combining tech, climate action, and social progress.	2023-06-27 08:00	2023-06-27 10:00	Online		TRUE	https://www.eventbrite.co.uk/e/how-technology-and-climate-action-can-drive-a-new-era-of-prosperity-tickets-634533796667
Longevity+DeSci Summit NYC	Ending Age-Related Diseases 2023	2023-08-10 10:00	2023-08-11 17:00	130 Bowery New York, NY 10013	New York City	FALSE	https://www.eventbrite.com/e/longevitydesci-summit-nyc-tickets-560132059067
Ai Tech Summit (4th Annual)	The Ai Tech Summit is the world’s most exclusive event featuring Ai tech investors, entrepreneurs and influencers coming together to address the world’s greatest  challenges via Ai technology.	2023-09-27 10:00	2023-09-27 12:00	Location TBA, TBA New York, NY 10036	New York	TRUE	https://www.eventbrite.com/e/ai-tech-summit-4th-annual-tickets-150406135801
All White Affair Memorial Day Weekend Party Cruise NYC I Cabana Yacht	A 4-hour all-white attire party on a multi-level yacht cruise with live DJ and cash bar	2023-05-28 23:00	2023-05-29 03:00	2430 FDR Drive New York, NY 10010	New York	FALSE	https://www.eventbrite.com/e/all-white-affair-memorial-day-weekend-party-cruise-nyc-i-cabana-yacht-tickets-470475794767
Brooklyn Job Fair June 29, 2023 - Brooklyn Career Fairs	Meet with top hiring companies in Brooklyn	2023-06-29 10:00	2023-06-29 14:00	Virtual Job Fair Brooklyn, NY 11216	Brooklyn	FALSE.	https://www.eventbrite.com/e/brooklyn-job-fair-june-29-2023-brooklyn-career-fairs-tickets-492919705107
Responsible Tech Mixer + Celebration for BAD INPUT, in-person in NYC!	 Mixer + panel + short film screening! Come to this celebration of BAD INPUT, Consumer Reports' new short films on the biases in algorithms and datasets that result in unfair practices towards communities of color, often without them knowing. In partnership with Kapor Foundation. To coincide with the themes of Bad Input, we have assembled a panel on how biases in algorithms and datasets can result in unfair practices towards communities of color.The panel conversation will feature Nabiha Syed (The Markup), Crystal Grant (ACLU	 featured in BAD INPUT), Lili Gangas (Kapor Center), and moderator Brian Vines (Consumer Reports).This gathering will take place on May 31, 2023 at 6:00 PM	May 31, 2023, 8:30 PM	29 Little West 12th Street New York, NY 10014	New York	TRUE.	https://www.eventbrite.com/e/responsible-tech-mixer-celebration-for-bad-input-in-person-in-nyc-tickets-623291580897
It’s All Our Backyard: Just Transitions to Regional Sustainability	Roosevelt Institute Director of Climate Policy Rhiana Gunn-Wright explores the interconnections between environmental and racial justice	2023-06-01 19:00	2023-06-01 20:00	20 Jesup Road Westport, 06880	Westport	TRUE.	https://www.eventbrite.com/e/its-all-our-backyard-just-transitions-to-regional-sustainability-tickets-630964811737
M365 Community Days NYC 2023	12th SPS Events New York City event for Microsoft 365 administrators, end users, architects, developers, etc.	2023-07-29 09:00	2023-07-29 17:00	Microsoft New York, 11 Times Square New York, NY 10036	New York	FALSE.	https://www.eventbrite.com/e/m365-community-days-nyc-2023-tickets-601475578647
1 NYC YACHT CRUISE BOAT PARTY | NYC EXPERIENCE PARTY TOUR	A 4.5 hour yacht cruise with live DJs, cash bar, waitress service, and captivating views of the Manhattan skyline. Dress code is trendy and all ages are welcome.	2023-05-27 21:30	2023-05-28 02:00	Pier 40 at Hudson River Park, 353 West Street New York, NY 10014	New York	FALSE	https://www.eventbrite.com/e/1-nyc-yacht-cruise-boat-party-nyc-experience-party-tour-tickets-615102136047
Certified Blockchain Associate | New York City	2-hours live online training on the introduction to blockchain technology!	2023-05-26 10:00	2023-05-26 12:00	Online Event New York, NY 10001	New York	FALSE	https://www.eventbrite.com/e/certified-blockchain-associate-new-york-city-tickets-489262997797
Global Kids Annual Youth Conference 2023	A youth-led event to tackle issues of justice and equity of local and global importance. This year's theme is Climate Education.	2023-05-25 09:00	2023-05-25 13:30	Alfred Lerner Hall 2920 Broadway New York, NY 10027	New York	TRUE	https://www.eventbrite.com/e/global-kids-annual-youth-conference-2023-tickets-632925877337
Market Data in the Cloud 2023 NYC	A practitioner's view of the future of market data delivery in the cloud	2023-06-22 13:30	2023-06-22 18:30	109 W 39th St, 109 West 39th Street, New York, NY 10018	New York	FALSE	https://www.eventbrite.com/e/market-data-in-the-cloud-2023-nyc-tickets-604514187207
Yedoye Travis: Steve Harvey Caused Climate Change	A comedy show by Yedoye Travis	2023-05-25 20:30	2023-05-25 21:45	167 Graham Avenue Brooklyn, NY 11206	Brooklyn	FALSE	https://www.eventbrite.com/e/yedoye-travis-steve-harvey-caused-climate-change-tickets-622112614577
